idrisk,date,time,temperature,pressure,wind,humidity,weather,idname
396292,2017-06-13,23:33:50,16,1013,18,93,Drizzle,Zone 8
450637,2017-06-13,14:20:03,16,1013,18,93,Precipitation,Zone 5
73880,2017-06-11,23:26:06,8.6,1022,0,99,Fog,Zone 2
544087,2017-06-18,00:32:03,16,1013,18,93,Precipitation,Zone 5
337764,2017-06-17,04:07:59,16,1013,18,93,Drizzle,Zone 2
281672,2017-06-14,12:23:44,8.6,1022,0,99,Fog,Zone 1
434968,2017-06-15,19:30:50,16,1013,18,93,Drizzle,Zone 5
362286,2017-06-18,07:59:44,16,1013,18,93,Drizzle,Zone 5
208418,2017-06-18,08:18:36,8.6,1022,0,99,Fog,Zone 6
100888,2017-06-13,06:07:21,16,1013,18,93,Rain,Zone 9
461940,2017-06-14,03:11:03,16,1013,18,93,Precipitation,Zone 5
404914,2017-06-14,09:21:50,16,1013,18,93,Drizzle,Zone 4
361326,2017-06-18,06:54:29,16,1013,18,93,Drizzle,Zone 5
121234,2017-06-14,05:14:51,16,1013,18,93,Rain,Zone 4
299842,2017-06-15,09:02:44,8.6,1022,0,99,Fog,Zone 5
177395,2017-06-16,21:03:36,16,1013,18,93,Rain,Zone 3
534250,2017-06-17,13:21:33,16,1013,18,93,Precipitation,Zone 4
112744,2017-06-13,19:35:51,16,1013,18,93,Rain,Zone 2
175570,2017-06-16,18:59:06,16,1013,18,93,Rain,Zone 9
236875,2017-06-12,09:28:59,8.6,1022,0,99,Fog,Zone 2
151240,2017-06-15,15:20:06,16,1013,18,93,Rain,Zone 8
491552,2017-06-15,12:50:03,16,1013,18,93,Precipitation,Zone 9
116746,2017-06-14,00:08:51,16,1013,18,93,Rain,Zone 1
504626,2017-06-16,03:41:03,16,1013,18,93,Precipitation,Zone 6
278449,2017-06-14,08:43:59,8.6,1022,0,99,Fog,Zone 4
549950,2017-06-18,07:11:48,16,1013,18,93,Precipitation,Zone 2
441329,2017-06-16,02:44:20,16,1013,18,93,Drizzle,Zone 8
278446,2017-06-14,08:43:59,8.6,1022,0,99,Fog,Zone 4
240030,2017-06-12,13:04:14,8.6,1022,0,99,Fog,Zone 2
129537,2017-06-14,14:40:21,16,1013,18,93,Rain,Zone 4
77921,2017-06-12,04:01:21,16,1013,18,93,Rain,Zone 5
511314,2017-06-16,11:17:03,16,1013,18,93,Precipitation,Zone 5
387660,2017-06-13,13:45:05,16,1013,18,93,Drizzle,Zone 8
312214,2017-06-15,23:05:44,8.6,1022,0,99,Fog,Zone 4
